dataset,backbone,batch,optMethod,freeze_bn,freeze,sparse,epoch,LR,momentum,weightDecay,loadModel,save_interval,val_ratio
underwater,mobilenet,32,rmsprop,TRUE,0,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.1,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.2,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.3,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.4,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.5,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.6,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.7,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.8,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.9,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.1,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.2,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.3,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.4,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.5,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.6,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.7,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.8,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.9,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.1,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.2,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.3,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.4,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.5,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.6,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.7,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.8,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.9,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.1,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.2,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.3,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.4,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.5,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.6,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.7,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.8,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.9,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.1,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.2,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.3,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.4,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.5,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.6,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.7,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.8,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.9,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.1,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.2,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.3,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.4,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.5,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.6,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.7,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.8,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.9,,20,0.001,,0,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.1,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.2,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.3,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.4,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.5,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.6,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.7,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.8,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,TRUE,0.9,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.1,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.2,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.3,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.4,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.5,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.6,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.7,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.8,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,TRUE,0.9,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.1,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.2,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.3,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.4,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.5,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.6,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.7,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.8,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,TRUE,0.9,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.1,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.2,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.3,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.4,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.5,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.6,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.7,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.8,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,rmsprop,FALSE,0.9,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.1,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.2,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.3,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.4,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.5,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.6,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.7,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.8,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,adam,FALSE,0.9,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.1,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.2,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.3,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.4,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.5,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.6,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.7,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.8,,20,0.001,,0.001,TRUE,5,0.2
underwater,mobilenet,32,sgd,FALSE,0.9,,20,0.001,,0.001,TRUE,5,0.2
