dataset,backbone,batch,optMethod,freeze_bn,freeze,sparse,epoch,LR,momentus,weightDecay,expFolder,loadModel,save_interval,val_ratio
ceiling,mobilenet,32,rmsprop,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,rmsprop,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,rmsprop,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,rmsprop,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,adam,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,adam,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,adam,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,adam,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,sgd,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,sgd,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,sgd,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,sgd,TRUE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,rmsprop,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,rmsprop,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,rmsprop,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,rmsprop,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,adam,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,adam,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,adam,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,adam,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,sgd,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,sgd,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,sgd,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,sgd,TRUE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
,,,,,,,,,,,,,,
ceiling,mobilenet,32,rmsprop,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,rmsprop,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,rmsprop,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,rmsprop,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,adam,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,adam,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,adam,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,adam,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,sgd,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,sgd,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,sgd,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,sgd,FALSE,0,,20,0.001,,0,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,rmsprop,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,rmsprop,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,rmsprop,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,squeezenet,32,rmsprop,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mobilenet,32,adam,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,mnasnet,32,adam,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
ceiling,shufflenet,32,adam,FALSE,0,,20,0.001,,1.00E-04,ceiling_2cls,TRUE,5,0.2
